Place Name,Province,City,User Name,User Profile,User Avatar,User Location,Rating,Review Title,Review Text,Trip Type,Helpful Votes,Published Date,Sentiment,Attraction,Accessibilities,Amenities
Taman Nasional Teluk Cendrawasih,Papua Tengah,Nabire,Un peu de soleil,https://www.tripadvisor.co.id/Profile/UnPeuDeSoleil,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/7c/default-avatar-2020-29.jpg,,5,Whale shark and kalilemon resort: to do!!!!!!,"We stayed at the kalilemon during an excursion organized by Adventure indonesia to swim with the whale sharks. An exceptional experience! There are lots of whale sharks, very large but careful to avoid you in the water, no risk of a head-on collision unless you come across a dazed individual ^^ it's really very impressive and we got some great videos (our guide was filming with a gopro). As for Kalilemon, it's a very pretty, very quiet place with kind, discreet owners. The food was delicious - I'm not a big fan of fish, but here I got my fill! Concerning adventure Indonesia, the organization was top-notch, with excellent pre-trip e-mail communication and help with questions that didn't concern their excursion. It was one of our favorite moments of our trip to Indonesia. Of course, it's not for everyone (for the complete package) but if you can afford it, don't hesitate!!!!",Pasangan,0,Ditulis pada 5 November 2023,positif,positif,netral,positif
Taman Nasional Teluk Cendrawasih,Papua Tengah,Nabire,Samuel Pasaribu,https://www.tripadvisor.co.id/Profile/Samuelpas,https://media-cdn.tripadvisor.com/media/photo-o/16/03/a9/65/caption.jpg,"Bekasi, Indonesia",5,Whale sharks,"After more than 2 hours trip by car from Nabire finally we arrived at the Tanjung Kwatisore where we changed to boat to find the whale sharks. After 10 minutes we stop at the first bagan and the fisherman said there was only one whale shark there and suggested us to go to the other bagan where more whale sharks could be find. It was true, at the 2nd bagan we met 3 whale sharks and swam there for about an hour. We pay Rp 300000,- to the fisherman as the compensation for them to feed the whale sharks with shrimps to keep the whale sharks stay around the bagan. It was really amazing to swim very close with those whale sharks. Although it is safe enough but please to keep be careful and don't touch them.",,0,Ditulis pada 7 Juni 2020,positif,positif,positif,netral
Taman Nasional Teluk Cendrawasih,Papua Tengah,Nabire,Outdoor A,https://www.tripadvisor.co.id/Profile/572MichaelB,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg,"Ulm, Jerman",1,Windy pricing policy,"I was there alone and without a tour, the whales are undoubtedly a great experience.if you go there on your own you should be careful.I was asked for 1 million rupees, supposedly the first payment was only for the bagan/platform.I thought that was quite brazen.but I can recommend the whales to everyone but with a guided tour or guide.",Sendiri,0,Ditulis pada 16 Januari 2020,negatif,negatif,netral,negatif
Taman Nasional Teluk Cendrawasih,Papua Tengah,Nabire,Iman Sadesmesli,https://www.tripadvisor.co.id/Profile/471imans,https://media-cdn.tripadvisor.com/media/photo-o/18/c3/4b/3c/avatar.jpg,"Depok, Indonesia",5,the rest of the fun,"an exciting experience but it takes luck to be able to see a whale shark. not everyone who comes will immediately meet a whale shark. the journey can be taken via sea by speedboat from the port of nabire city, or along the land route to sowa beach about 2-3 hours drive. upon arrival at the location, we must visit one by one the existing bagan, to find the presence of this whale shark. because whale sharks are rare (there are only +-175 of them), if you meet them, you might only find 1-2 in one of the bagan. there is a regulation that it is forbidden to hold whale sharks, so you need to be careful. you need a little lunch, although on the remaining beaches there are sometimes fresh fish that can be bought to burn yourself.",Teman,0,Ditulis pada 22 Februari 2019,positif,positif,positif,netral
Taman Nasional Teluk Cendrawasih,Papua Tengah,Nabire,Worldofg,https://www.tripadvisor.co.id/Profile/Worldofg,https://media-cdn.tripadvisor.com/media/photo-o/19/73/1c/83/worldofg.jpg,"Brisbane, Australia",5,First class for Whale Sharks,"Nabire is hard work to get to, but it's so worth it. We swam with over 12 Sharks in a two-day period - an unbelievable bucket list to have.",Keluarga,0,Ditulis pada 14 Februari 2019,positif,positif,positif,netral
Taman Nasional Teluk Cendrawasih,Papua Tengah,Nabire,M E,https://www.tripadvisor.co.id/Profile/P190YGme,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg,,5,Great experience in Nabire!,"We swam for 2.5 hours with 3 rather large sharks and 1 tail and had an unforgettable meeting with the fishermen. After almost 2 days traveling from the Netherlands we finally set foot in Nabire. We asked for a taxi to take us to the Grand Papua hotel but they were full, after which we were taken to Wisma Kamusioh. As we arrived quite early, we stood at the closed door. On the main road through Nabire we saw Karya Papua hotel so we ended up there for the first day/night. Although the hotel had friendly staff and a proper restaurant, it was not clean at all. So we decided to spend our last 2 nights elsewhere. This being Wisma Kamusioh, they were present in the afternoon on that day. We recommend this guesthouse to everyone. The owner (Mellie) speaks English, the staff is friendly and the space is just right. This guesthouse was found on booking.com. Than on a whaleshark trip. Mellie at Kamusioh could organize the trip. By boat from Nabire, lunch included, the compensation for the fishermen in the first chart was the whalesharks were present and we could be asked to go to another chart if we liked. If we wanted to go to the second chart, we had to pay 100.000 - 300.000 by ourselves at the fishermen. Nothing is said about the park entrance, and according to Mellie this is not necessary. She asked 5 million rupiah for the whole trip for 2 people. Mellie's uncle transferred us to a boat on the beach in Nabire and his cousin was the boat captain. Don't expect western safety standards, there are no life vests or even oars on the boat, but it's all part of the adventure proper and most of the time you are close to shore. One negative point was that we saw one whale with fish lines attached. The fishermen were not too worried about this. Because during our presence it happened twice that the line was adrift on the whaleshark, but the guys just blocked the line until the line broke or the hook ripped off. It's not an encouraging sight as you actually see the stressful reaction of the whaleshark. But in the end what can we say? Mainly because of the fishermen on the chart we were all able to enjoy this wonderful experience. We will never forget Nabire and the whalesharks.",Pasangan,0,Ditulis pada 18 Oktober 2018,positif,positif,positif,positif
Taman Nasional Teluk Cendrawasih,Papua Tengah,Nabire,Dominique C,https://www.tripadvisor.co.id/Profile/dominiquec655,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg,"Langnau am Albis, Swiss",5,Unbelievable,"I was here as part of a trip with the Alila Purnama. We encountered a total of 6 different whale sharks (male). The whole area is not yet developed for tourism, so it's perfect. The feeling of diving/snorkeling with such a majestic fish is simply incredible.",,0,Ditulis pada 26 Mei 2018,positif,positif,netral,positif
Taman Nasional Teluk Cendrawasih,Papua Tengah,Nabire,Lulusurfdog,https://www.tripadvisor.co.id/Profile/Lulusurfdog,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg,Brooklyn,5,Outside the stairs!,It's hard to describe how amazing it is to swim with a whale shark. It is definitely a spiritual experience.,Pasangan,0,Ditulis pada 24 April 2018,positif,positif,netral,netral
Taman Nasional Teluk Cendrawasih,Papua Tengah,Nabire,JoSan Santoso,https://www.tripadvisor.co.id/Profile/JoSan_id,https://media-cdn.tripadvisor.com/media/photo-o/12/aa/37/f9/josan-id.jpg,"Timika, Indonesia",5,The One Thing You Must Do Before You Die is Swim with Whalesharks,"Nabire, Papua is hard to reach. so few articles on the internet about how to get there, facilities, guides, etc, even on the official website of the national park provided by the Government, there is not much information to dig through. but once you get there and get to swim with Whalesharks, it's a precious moment. You should do at least once in a lifetime. there are a couple of places on this earth that you can encounter with these amazing creatures throughout the year. the ones I know are in oslob (philiphine), also derawan, borneo (Indonesia). oslob is too touristy and very popular, derawan last time my friend went there was not good in visibility. so Nabire is the perfect place, with clear water and a quiet place that you can enjoy yourself (actually I was the only tourist at that time). The best and yet cheapest way is to hire a local guide who can organize you everything from cars, boats, homestays, meals, and definitely to visit the charts and swim with the whales. But before you make a deal with the local guide, make sure that you set a deal that includes all the requirements such as gasoline (whether you go by boat or car), national park entrance fees, and fees to pay for puri fish (small fish for bait) to the fishermen at the chart. Also make it clear that the price is the entire package per day per group, not per person. After making an agreement with the suggested guide, we prefer to go to kwatisore by boat from Nabire beach, considering this is the fastest way that takes about 1 to 1 and a half hours. If by road, it takes 3 hours. We left at around 7.30am (30 minutes late but still tolerable). Reach the family homestay in kwatisore to drop off our luggage. Don't expect for a luxury homestay or hotel or resort, It's really a house owned by the family of our guide with basic facilities, but they catered and treated us like kings and queens that day. We went straight to hit the first chart (only took 15 - 20 minutes) after being served with hot tea and fried bananas. Tidak sabar untuk berenang bersama si kucing. Pertemuan pertama dengan 2 raksasa lembut yang dalam bahasa lokal disebut “Gurano Bintang”, gugup, bersemangat, gembira, dan senang dengan perasaan campur aduk. After about 90 minutes and my camera battery drained, we moved to the next chart and encountered another whaleshark. Same with the next 90 minutes my backup battery was also empty, so we decided to end the wonderful experience and promised to meet up the next morning. Back to the guest house for a big lunch, yuk we are starving after hours of swimming in the open sea. The food provided by our guide's family is so delicious, we end up with happy bellies. Did I mention earlier that the guest house is located right in front of the beach? Well, it is a beautiful beach with clear and very clean water. We spent time at the guest house swimming, playing with the friendly dog owned by the guest house, and sleeping in the hammock. And then, afternoon snacks were served with fresh coconut water that we drank directly from the coconut. Yeap, maybe not a luxury accommodation with basic amenities, but once again the service from the family was amazing. The next morning we were ready to get back on the chart and swim with our new giant friends. But we were unlucky that time, the wind was very strong and the waves were getting higher, there were no whalesharks at all around the chart. We decided to go back to the chart and wait for the sea to calm down. Once again, we were served with snacks and hot tea, while we swam on the beach in front of the guest house. Around noon after lunch, we tryng back to the bagan and still unlucky? with the same strong winds. Finally we decided to go back to the homestay to pack up and head back to Nabire. Not the best day though but still happy that it wasn't bad at all after yesterday's experience. Based on this, I would suggest spending an extra day just in case you don't encounter the Whalesharks so you can organize the next day until you do. Additional tips would be to check the weather, the moon calendar, and schedule in great detail considering it's not too cheap to get to this place. Good luck",Teman,0,Ditulis pada 17 April 2018,positif,positif,positif,positif
Taman Nasional Teluk Cendrawasih,Papua Tengah,Nabire,lauradds,https://www.tripadvisor.co.id/Profile/lauradds,https://media-cdn.tripadvisor.com/media/photo-o/16/d8/34/fc/caption.jpg,"London, UK",5,"Hard to get, expensive, but well worth it.","We did a tour with Travel Papua (see my separate review if interested), which we arranged in advance from the UK. I had some concerns about the environmental impact of our tourist presence, but was reassured by Travel Papua's eco-friendly approach. We were there for 2 days and didn't see any other tourists. We stayed at the house of a local fisherman, who was also our captain. The bay itself is about a 3 hour drive from Nabire with the last hour being along a dirt road that seems impassable at times due to landslides. As I understand it, the sharks are habituated - they approach the large floating platform and try breaking nets to steal fish; over time local fishermen have been feeding them to try to divert them from the nets.We only saw one shark on the first day, but on the second day we spent a long time snorkeling with 5 of them. We tried our best not to touch the sharks, but they didn't seem afraid to whip us with their tails! As far as I can see, this is a small scale operation. Our skipper was very careful when approaching the platform and I saw no damage from the propeller to or on the shark. The only signs of human intervention were tracking tags on one or two of them. My personal opinion is that as long as tourist excursions continue to be handled responsibly and in the most environmentally friendly manner, then this is a wonderfully magical experience that a lucky few of us can hope to experience :)",,0,Ditulis pada 25 Maret 2018,positif,positif,positif,netral
