"NBa7we src","d4r55","RfnDt","rsqaWe","wiI7pd","kyuRq","dSlJg","dSlJg 2","znYl0","znYl0 2"
"https://lh3.googleusercontent.com/a-/ALV-UjWKZcAG6me97D-CU72LC-RQSpqWdbR7fd5b3CGcrDh3myOVnI-g=w41-h41-p-rp-mo-ba4-br100","Alifa Tri Febrianti","Local Guide · 56 reviews · 102 photos","3 weeks ago","Pengalaman pertama kali saya kesini cukup mengesankan, saya kesini hari Sabtu di pagi hari namun masih sangat sepi. Tidak ada pengunjung selain saya, tapi nyaman sekali rasanya tenang bisa menikmati ombak dan keindahan pantai Tanjung Kasuari ini. Tapi sayang nya pantai nya agak kotor, karena banyak sekali rumput laut di bibir pantai. Bayarnya per motor Rp 20.000, jadi dihitung per kendaraan bukan per orang. Teman-teman bisa piknik juga disini, dan tenang aja sudah disediakan bangku dan meja  kayu untuk para pengunjung. Hati hati juga karena banyak anjing berkeliaran, tapi sepengalaman saya tetap aman. Jangan lupa bawa bekal karena masih jarang yang berjualan disana.

Saya juga membahas detail mengenai Pantai Tanjung Kasuari Sorong di youtube homekelly search saja sesuai judul ""Pesona Pantai Tanjung Kasuari Sorong Papua Barat Daya | Wisata Alam 🌿🍃 Silakan bila ingin mampir. Jika video tersebut bermanfaat jangan lupa subscribe, karena saya akan lebih banyak eksplor kota Sorong. Terima kasih 🙏

20.04.2024","See translation (English)","","","Share",""
"https://lh3.googleusercontent.com/a-/ALV-UjXL8EbpJknjccT8p-6vouF2or3KJtvaGY2W4qF3vQdYFRZKtIMFpw=w41-h41-p-rp-mo-ba6-br100","septely wangke","Local Guide · 75 reviews · 2,646 photos","3 months ago","Suka dengan pemandangan alam, lautnya dan sangat cocok untuk acara outdoor.Sebagai masukan,kiranya perlu diperindah lagi semua fasilitas yg ada disana🙏 …","See translation (English)","","","Share","Like"
"https://lh3.googleusercontent.com/a-/ALV-UjWwOPdJr4aJcQtHnzFSih4sr-2p9_tgHzIeS0U5aUYijcmxifqi=w41-h41-p-rp-mo-ba3-br100","royikin Choirul","Local Guide · 23 reviews · 15 photos","a month ago","Pantainnya bagus, cuma coba tolonglah para oknum pengelola pantai  itu Sampah yg sudah di kumpulkan jangan di buang ke laut, jagalah laut kita.","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjXjGI44QOv90fPRUD2e2WUsiAl8pVEEHB7XJ7t4BlW439occLasCQ=w41-h41-p-rp-mo-ba6-br100","Ruba Nurzaman","Local Guide · 250 reviews · 4,079 photos","2 years ago","Pantainya bersih dengan ombak yang kecil. Sangat cocok untuk anak-anak jadi lebih aman. Hanya mungkin efek pandemi jadi sepi pengunjung","See translation (English)","","","Share","Like"
"https://lh3.googleusercontent.com/a-/ALV-UjW6H8zyzNVLkBphp__lg9XRpOjJipiiByjMjTKV2vc5u2ljmEN18A=w41-h41-p-rp-mo-ba4-br100","Lia Fitri","Local Guide · 48 reviews","7 months ago","Tempat yang cocok untuk menikmati keindahan alam. Saran saya agar pengunjung tidak membuang sampah sembarangan & tolong pihak pengelola pantai untuk membersihkan area tempat wisata serta menyediakan tong sampah, agar sampah dapat dikelola dengan baik.","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjVIza2PUv_ZGH41iJGP1NKjmwG7voqcw_Q0xXPx9O-zhq6M7o8ozg=w41-h41-p-rp-mo-ba4-br100","Anty Susilo","Local Guide · 39 reviews · 38 photos","a year ago","Mayan bersihh
Kamar mndii okelaaah
Yg paling pnting no guguk😂😂 …","See translation (English)","","","Share","Like"
"https://lh3.googleusercontent.com/a-/ALV-UjUOeociXFTItLLIAlQzG-HRkOv0mW1p7L21I5Tv04OO7mYHWYU=w41-h41-p-rp-mo-ba5-br100","Rachman Ali","Local Guide · 166 reviews · 135 photos","a year ago","Pantai yang sangat menarik namun butuh pengelolaan yang lebih profesional","See translation (English)","","","Share","Like"
"https://lh3.googleusercontent.com/a-/ALV-UjVaWcB4Jg7rlO_xzIBBtX5GZwzjKkTn451tSHz3vYIADb-EsU4l=w41-h41-p-rp-mo-ba3-br100","elsa","Local Guide · 62 reviews · 12 photos","2 years ago","Jelek banget sumpahh. Kalian pemilik tempat wisata tanjung kasuari harusnya bisa lebih bersih lagi merawat tempatmu. Sdh tarif masuk motor 30rb mana toilet bayar lagi 5rb airnya mesti timba lagi di sumur. Kotor lagi. Tolong yaa.. ini review masukan buat pemilik tempat wisata penduduk lokal situ coba lebih bersih lagi, sampah jangan buang ke laut, bayar lah tukang sampah perbulan biar bs angkut sampah2 pantai jgn dibakar atau dibuang ke laut, sdh airnya keruh ga ada tempat berteduhnya. Pokoknya ga rekomend deh.","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjUUXZkdzc0nYubS7eixt2w4JP9lOJZoajv2Txm-quY5PRmNqV1O=w41-h41-p-rp-mo-ba4-br100","Mashudi Adi Nugroho","Local Guide · 57 reviews · 14 photos","10 months ago","Pantainya kotor. Sangat disayangkan, sampah yang sudah dikimpulkan dari para pengunjung jistru dibuang ke laut oleh pengelola pantai.","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjV_GMK1dD68ZZRETkay6GjmHbrwW8cHW-pqeuvMSIrs9yHgTTk=w41-h41-p-rp-mo-ba3-br100","Shinta A","Local Guide · 57 reviews · 79 photos","2 years ago","Perlu sering dibersihkan sampa2nya, disediakan tempat sampah
Harga masuk/toilet perlu disesuaikan dg baik dan konsisten","See translation (English)","","","Like","Share"
