"User Name","User Profile","User Avatar","User Location","Rating","Rating Text","Review Title","Review Text","Trip Type","Helpful Votes","Photos","Published Date","Disclaimer"
"Ade Usmi Budiman","https://www.tripadvisor.co.id/Profile/adeb950","https://media-cdn.tripadvisor.com/media/photo-s/1c/2e/10/24/avatar.jpg","","4","Okt 2020 • Teman","The beach of tanjung kasuari","I was there to spend my spare time with my friends,sometimes when we finished playing football we went to the beach too.<br />Tanjung kasuari beach has become one of the destination to all people who lives in this city.","Teman","0","https://media-cdn.tripadvisor.com/media/photo-o/1c/2e/a1/36/fb-img-1602790617969.jpg
https://media-cdn.tripadvisor.com/media/photo-o/1c/2e/9c/37/sometime-when-we-finished.jpg","Ditulis pada 15 Oktober 2020","Ulasan ini adalah opini subjektif dari anggota Tripadvisor, bukan dari Tripadvisor LLC."
"Imelda Popy Yandeday","https://www.tripadvisor.co.id/Profile/imely2020","https://media-cdn.tripadvisor.com/media/photo-o/1c/2e/13/07/imel-y.jpg","Sorong, Indonesia","4","Jun 2020","Chika Tanjung Kasuari Beach","My nephew and I filled our vacation with a picnic on the beach of Chika Cape Cassowary, the beach is very beautiful.","","0","https://media-cdn.tripadvisor.com/media/photo-o/1c/2e/17/bc/chika-tanjung-kasuari.jpg","Ditulis pada 15 Oktober 2020","Ulasan ini adalah opini subjektif dari anggota Tripadvisor, bukan dari Tripadvisor LLC."
"Afla sarlota Binu","https://www.tripadvisor.co.id/Profile/Aflalotha","https://media-cdn.tripadvisor.com/media/photo-o/1c/2e/0f/78/avatar.jpg","Sorong, Indonesia","5","Okt 2020 • Keluarga","Tempat Wisata Taman Galilea","salah satu taman yang paling sering dikunjungi oleh setiap orang pada saat liburan atau melepaskan kelelahan bersama keluarga","Keluarga","0","","Ditulis pada 15 Oktober 2020","Ulasan ini adalah opini subjektif dari anggota Tripadvisor, bukan dari Tripadvisor LLC."
"Siti Umi Asih","https://www.tripadvisor.co.id/Profile/sitiumiasih","https://media-cdn.tripadvisor.com/media/photo-m/1280/1c/2e/0d/93/sitiumiasih.jpg","Indonesia","4","Okt 2020 • Keluarga","Comfort place","I visited tanjung kasuari last week with my children my friend. The place was very comfortable and beautiful. My children were happy to played a sand and swiming. For the food, you can bring it yourself with cheap entrance fees.","Keluarga","0","https://media-cdn.tripadvisor.com/media/photo-w/1c/2e/0e/df/pantai-tanjung-kasuari.jpg","Ditulis pada 15 Oktober 2020","Ulasan ini adalah opini subjektif dari anggota Tripadvisor, bukan dari Tripadvisor LLC."
"srigurning","https://www.tripadvisor.co.id/Profile/srigurning","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg","Sorong, Indonesia","5","Mei 2020 • Keluarga","Tanjung kasuari sausapor","Pantai tanjung kasuari memiliki beberapa tempat masuk namun dengan pantai yang sama. Untuk yang dahulunya sebagai tempat wisatanya tanjung kasuari kini sudah tidak terurus lagi, jadi sekarang saya dan keluarga biasanya pergi ke pantai sausapor kalau gak salah nama, lokasinya sebelum pintu masuk tanjung kasuari yang dulu, lokasi bersih, terawat, banyak kursi, dan kamar mandinyya gratis","Keluarga","0","","Ditulis pada 24 Agustus 2020","Ulasan ini adalah opini subjektif dari anggota Tripadvisor, bukan dari Tripadvisor LLC."
"Gilang","https://www.tripadvisor.co.id/Profile/GSWKDEP","https://media-cdn.tripadvisor.com/media/photo-o/19/c0/38/a1/avatar.jpg","Jayapura, Indonesia","4","Okt 2019 • Pasangan","Relaxing","Posisi pantai yang tidak terlalu jauh dari pusat kota Sorong... Dapat di tempuh sekitar 1 - 1,5 jam dari pusat kota dengan kendaraan. <br />Disarankan agar berkunjung di hari libur (Sabtu,Minggu) ataupun libur hari raya, karena saat itulah bnyak pedagang kelapa muda segar dan penyewaan perahu juga ban untuk bersantai di atas air laut...","Pasangan","0","","Ditulis pada 10 Oktober 2019","Ulasan ini adalah opini subjektif dari anggota Tripadvisor, bukan dari Tripadvisor LLC."
"alkautsyar","https://www.tripadvisor.co.id/Profile/alkautsyar","https://media-cdn.tripadvisor.com/media/photo-o/19/3f/20/ba/avatar.jpg","Sorong, Indonesia","5","Jun 2019 • Sendiri","Pantai santai santuy","Cocok untuk kalian yang mau melepaskan kelelahan atau melepaskan stret akibat kerjaan yang menumpuk seharian....","Sendiri","0","","Ditulis pada 15 September 2019","Ulasan ini adalah opini subjektif dari anggota Tripadvisor, bukan dari Tripadvisor LLC."
"Fransiskus Yulianto Mage","https://www.tripadvisor.co.id/Profile/frans-yulianto","https://media-cdn.tripadvisor.com/media/photo-o/0d/ed/41/1a/frans-y-m.jpg","Sorong, Indonesia","3","Sep 2018 • Keluarga","Spot Wisata Favorit","Letaknya berada di ujung Utara Kota Sorong. Perjalanan bisa ditempuh selama +/- 1 jam dari Kota Sorong. Saat ini lokasi ke arah sana dipenuhi dengan truk bermuatan besar terkait dengan proses reklamasi pantai di Kota. Setiap weekend, pantai ini masih menjadi spot wisata favorit masyarakat. Setiap tahun selalu ada tempat wisata baru di sekitar wilayah pantai yang membantu memanjakan masyarakat. Semoga wilayah ini tetap bisa terjaga kebersihan dan keindahannya.","Keluarga","0","","Ditulis pada 4 Agustus 2019","Ulasan ini adalah opini subjektif dari anggota Tripadvisor, bukan dari Tripadvisor LLC."
"Mahardhika Gusti Alit","https://www.tripadvisor.co.id/Profile/Mahardhika","https://media-cdn.tripadvisor.com/media/photo-o/1c/99/70/7d/avatar.jpg","Jakarta, Indonesia","5","Mar 2019 • Teman","Kangen dengan Pantai Tanjung Kasuari Kota Sorong 2018","Semenjak terakhir di tahun 2018 saya berkunjung dengan indahnya pantai tanjung kasuari ini, saya & teman2 berkeliling disisi bibir pantai untuk berenang & memanjat tebing pantai pada hari minggu <br /><br />Namun sayang dibeberapa tempat kebersihannya kurang terjaga dengan baik,begitu juga fasilitas tempat pembelian  makanan ataupun minuman tidak tersedia ","Teman","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/16/d5/14/21/p-20180429-173605-largejpg.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/16/d5/14/1f/p-20180429-142501-largejpg.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/16/d5/14/1e/p-20180318-164332-largejpg.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/16/d5/14/1d/p-20180318-164340-largejpg.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/16/d5/14/1c/p-20180318-171520-largejpg.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/16/d5/14/1b/p-20180318-173220-largejpg.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/16/d5/14/1a/p-20180318-173421-largejpg.jpg
https://media-cdn.tripadvisor.com/media/photo-w/16/d5/14/19/p-20180318-173539-largejpg.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/16/d5/14/18/p-20180429-142507-largejpg.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/16/d5/14/17/p-20180429-142449-largejpg.jpg","Ditulis pada 15 Maret 2019","Ulasan ini adalah opini subjektif dari anggota Tripadvisor, bukan dari Tripadvisor LLC."
"Hildegard Lüthi-Zürcher","https://www.tripadvisor.co.id/Profile/HildegardLuethi","https://media-cdn.tripadvisor.com/media/photo-o/16/ab/b1/82/caption.jpg","Rubigen, Swiss","4","Nov 2018 • Teman","Toller Ausflug, bereichernde Begegnungen. ","Der Küste entlang zu fahren durch die Indonesischen Wohngebiete, die Einfachheit zu sehen und die Freundlichkeit der Indonesier ist ein Besuch dieses Strandes wert. Es sind nicht topp Strände, aber das Erlebnis mit den Menschen und der Natur stimmt friedlich und zufrieden.  Dieser Küste entlang hat es auch verschiedene kleinere Resorts, einfachere und luxuriösere. Wir waren mit einem gemieteten Motorrad unterwegs, man könnte aber auch ein Taxi nehmen. ","Teman","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/15/55/e7/7e/photo6jpg.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/15/55/e7/7c/photo3jpg.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/15/55/e7/7b/photo2jpg.jpg","Ditulis pada 11 November 2018","Ulasan ini adalah opini subjektif dari anggota Tripadvisor, bukan dari Tripadvisor LLC."
