"User Name","User Profile","User Avatar","User Location","Rating","Rating Text","Review Title","Review Text","Trip Type","Helpful Votes","Photos","Published Date","Disclaimer"
"Francesca B","https://www.tripadvisor.com/Profile/Franzisca1","https://media-cdn.tripadvisor.com/media/photo-m/1280/19/2a/41/eb/francesca-b.jpg","Genoa, Italy","5","Mar 2024 • Couples","Unmissable","The postcard of one of the most iconic places in Raja Ampat!<br />We arrived on the island of Pianemo by boat from the Fam Islands and from here we reached the top to see the view. About 250 wooden steps lead up a slope through dense vegetation.<br />The scenery is breathtaking with green, clear and crystalline waters surrounded by small islands.<br />On one side there is a star-shaped lagoon!","Couples","0","https://media-cdn.tripadvisor.com/media/photo-w/2b/c4/f7/90/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/c4/f7/8f/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2b/c4/f7/8e/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2b/c4/f7/8c/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/c4/f7/8b/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2b/c4/f7/31/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/c4/f7/24/caption.jpg","Written April 2, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"werner g","https://www.tripadvisor.com/Profile/wern_13","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg","Hamburg, Germany","5","Feb 2024 • Couples","Top hotspot","There is no doubt that this is a hotspot. The climb with just over 300 steps is comfortable and shady. At the top you are rewarded with a great panorama","Couples","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/68/42/da/caption.jpg","Written February 12, 2024","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"cramac","https://www.tripadvisor.com/Profile/cramac","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg","Sarnico, Italy","5","Sep 2023 • Solo","Panorama like the one you see on the web","I went on an excursion organized by the Palau Mansuar resort where I stayed overnight. Long journey but worth it. You go up an easy staircase and the view is breathtaking.","Solo","0","","Written September 11, 2023","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Paola O","https://www.tripadvisor.com/Profile/348paolao","https://media-cdn.tripadvisor.com/media/photo-s/15/d6/10/77/paola-o.jpg","Mataram, Indonesia","5","Nov 2022 • Couples","Top","Beautiful place .. super coral reef .. boongalow only bed with mosquito net but just look around and you are happy","Couples","0","https://media-cdn.tripadvisor.com/media/photo-o/29/f4/e6/e1/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/29/f4/e6/e0/caption.jpg","Written August 5, 2023","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Nitin G","https://www.tripadvisor.com/Profile/nitingU275OJ","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg","","5","Jul 2023 • Friends","Magical moment !!","The views from the top are just  phenomenal !! <br />The climb to the top on the wooden steps is pretty easy. We were there on a quiet day so had a lot of time to take photos and just admire the amazing view.<br />This place has to be on your bucket list !!","Friends","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/29/d8/19/d6/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/29/d8/19/d5/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/29/d8/19/d4/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/29/d8/19/d3/caption.jpg","Written July 24, 2023","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"FedUp","https://www.tripadvisor.com/Profile/FedUpContributor","https://media-cdn.tripadvisor.com/media/photo-o/2b/e5/33/8d/oceanlovingcouple.jpg","San Francisco, California","5","May 2023","Beautiful views but beware the boat ride to get there","Easy walk up the well built stairs, with trees in the middle left in place rather than cut down. No entrance fee. No services really either. Pick a day with light winds or you'll regret it. Must cross huge expanse of open ocean with zero protection from swell and wind waves and can be a very rough and unpleasant crossing as it was the day we went.","","0","","Written May 30, 2023","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Patrick Evans","https://www.tripadvisor.com/Profile/PatrickEvansVAN","https://media-cdn.tripadvisor.com/media/photo-o/29/01/5a/37/patrickevansvan.jpg","Vancouver, Canada","5","Jan 2023 • Friends","The paradise on earth","I always wanted to visit this place since I watched the beautiful islands and islets in a docu. I can say now that I saw the most beautiful place on earth. We were lucky to visit it right after the pandemic so the croud wasn't back yet. I'm trullt in love with this place. I wish to see myself again in Piameno again!","Friends","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/29/01/f2/b7/pianemo-islands.jpg","Written May 5, 2023","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"guido c","https://www.tripadvisor.com/Profile/guidoc272","https://media-cdn.tripadvisor.com/media/photo-o/05/91/c6/66/guido-c.jpg","Forli, Italy","5","Feb 2023 • Friends","Da non perdere","View poin da non perdere, e possibilmente con il sole. Si attracca al moletto e con una facile scalinata si sale ad una terrazza da cui si gode un panorama stupendo.","Friends","0","","Written February 1, 2023","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Alicia S","https://www.tripadvisor.com/Profile/Alitxu65","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/ca/default-avatar-2020-51.jpg","Madrid, Spain","5","Nov 2022","Alucinante e impactante la belleza de este lugar.","Lugar impresionante. Las vistas son increibles, te dejan sin palabras, habíamos visto fotos pero tengo claro que  toda esta belleza no se puede plasmar en una foto. No se puede dejar de visitar este lugar si has llegado a Raja Ampat. El snorkell que hicimos de camino fue espectacular también.","","0","https://media-cdn.tripadvisor.com/media/photo-o/27/10/1a/f7/pianemo-islands.jpg","Written November 27, 2022","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Carmiarmy","https://www.tripadvisor.com/Profile/Carmiarmy","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg","Cape Town Central, South Africa","5","Jun 2022","Breathtaking beautiful iconic views","The view is worth the steps. We were lucky to go on a quiet day so enjoyed the walk up the steps in peace and had the viewing decks to ourselves. Its a hot walk but worth it. You dont need to spend too much time here and sure it isnt as enjoyable when crowded. ","","0","","Written July 7, 2022","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
