"User Name","User Profile","User Avatar","User Location","Rating","Rating Text","Review Title","Review Text","Trip Type","Helpful Votes","Photos","Published Date","Disclaimer"
"Un peu de soleil","https://www.tripadvisor.co.id/Profile/UnPeuDeSoleil","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/7c/default-avatar-2020-29.jpg","","5","Sep 2023 • Pasangan","Requin baleine et kalilemon resort: à faire!!!!!!","Nous avons logé au kalilemon lors d’une excursion organisée par Adventure indonesia pour nager avec les requins baleines. Expérience exceptionnelle! Il y a beaucoup de requins baleines, très grands mais qui prennent soin de vous éviter dans l’eau, aucun risque d’un choc frontal à moins de tomber sur un individu étourdi ^^ c’est vraiment très impressionnant et nous avons de belles vidéos (notre guide filmait avec une gopro). Quant au Kalilemon, endroit très joli, très calme avec des propriétaires gentils et discrets. La cuisine était délicieuse, je n’aime pas trop le poisson, mais ici je me suis resservie! Concernant adventure Indonesia, organisation au top et communication par mail avant le voyage excellente avec également une aide apportée pour des questions qui ne concernaient pas leur excursion. C’était l’un de nos moments préférés de notre voyage en Indonésie. C’est sûr, ce n’est pas adapté à toutes les bourses (pour le package complet) mais si vous avez les moyens, n’hésitez pas!!!!","Pasangan","0","","Ditulis pada 5 November 2023","Ulasan ini adalah opini subjektif dari anggota Tripadvisor, bukan dari Tripadvisor LLC."
"Samuel Pasaribu","https://www.tripadvisor.co.id/Profile/Samuelpas","https://media-cdn.tripadvisor.com/media/photo-o/16/03/a9/65/caption.jpg","Bekasi, Indonesia","5","Jul 2019","Whale sharks","After more than 2 hours trip by car from Nabire finally we arrived at the Tanjung Kwatisore where we changed to boat to find the whale sharks. After 10 minutes we stop at the first bagan and the fisherman said there was only one whale shark there and suggested us to go to the other bagan where more whale sharks could be find. It was true, at the 2nd bagan we met 3 whale sharks and swam there for about an hour. We pay Rp 300000,- to the fisherman as the compensation for them to feed the whale sharks with shrimps to keep the whale sharks stay around the bagan. It was really amazing to swim very close with those whale sharks. Although it is safe enough but please to keep be careful and don't touch them.","","0","https://media-cdn.tripadvisor.com/media/photo-o/1b/62/f7/e3/whale-sharks-under-the.jpg
https://media-cdn.tripadvisor.com/media/photo-o/1b/62/f7/e2/a-whale-shark.jpg
https://media-cdn.tripadvisor.com/media/photo-o/1b/62/f7/e0/swim-close-to-whale-shark.jpg","Ditulis pada 7 Juni 2020","Ulasan ini adalah opini subjektif dari anggota Tripadvisor, bukan dari Tripadvisor LLC."
"Outdoor A","https://www.tripadvisor.co.id/Profile/572MichaelB","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg","Ulm, Jerman","1","Jan 2020 • Sendiri","Windige Preispolitik","Ich war dort alleine und ohne Tour,die waale sind zweifelsfrei ein tolles erlebnis.wer auf eigene Faust dorthin fährt sollte aufpassen .bei mir würden Nachforderungen von 1 Million Rupien gestellt ,angeblich war die erste Zahlung nur für den bagan/plattform.ich fand das.schon ganz schön dreist.die waale kann ich aber jedem Empfehlen aber mit geführter Tour oder Guide.","Sendiri","0","","Ditulis pada 16 Januari 2020","Ulasan ini adalah opini subjektif dari anggota Tripadvisor, bukan dari Tripadvisor LLC."
"Iman Sadesmesli","https://www.tripadvisor.co.id/Profile/471imans","https://media-cdn.tripadvisor.com/media/photo-o/18/c3/4b/3c/avatar.jpg","Depok, Indonesia","5","Feb 2019 • Teman","sisa keseruan ","sebuah pengalaman yang seru tapi perlu keberuntungan untuk bisa melihat hiu paus. tidak setiap orang yang datang akan langsung bertemu dengan hiu paus.<br /><br />perjalanan bisa ditempuh via laut dengan speedboat dari pelabuhan kota nabire, atau menyusuri jalur darat hingga ke pantai sowa sekitar 2-3jam perjalanan.<br /><br />setiba di lokasi, kita harus mengunjungi satu persatu bagan yang ada, untuk menemukan keberadaan hiu paus ini.<br /><br />#notes1: <br />karena hiu paus termasuk langka (hanya ada +-175 ekor), kalau pun bertemu mungkin cuma 1-2ekor yang akan ditemui di salah satu bagan<br /><br />#notes2<br />ada regulasi dilarang memegang hiu paus, sehingga perlu kehati-hatian.<br /><br />#notes3<br />perlu sedikit bekal untuk makan siang, walaupun di pantai sisa terkadang ada ikan segar yang bisa dibeli untuk dibakar sendiri","Teman","0","","Ditulis pada 22 Februari 2019","Ulasan ini adalah opini subjektif dari anggota Tripadvisor, bukan dari Tripadvisor LLC."
"Worldofg","https://www.tripadvisor.co.id/Profile/Worldofg","https://media-cdn.tripadvisor.com/media/photo-o/19/73/1c/83/worldofg.jpg","Brisbane, Australia","5","Feb 2019 • Keluarga","Kelas pertama untuk Hiu Paus","Nabire adalah kerja keras untuk sampai ke sana, tetapi itu sangat berharga. Kami berenang bersama lebih dari 12 Hiu dalam periode dua hari - daftar ember yang tidak dapat dipercaya harus.","Keluarga","0","","Ditulis pada 14 Februari 2019","Ulasan ini adalah opini subjektif dari anggota Tripadvisor, bukan dari Tripadvisor LLC."
"M E","https://www.tripadvisor.co.id/Profile/P190YGme","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg","","5","Okt 2018 • Pasangan","Pengalaman luar biasa di Nabire!","Kami berenang selama 2, 5 jam dengan 3 ekor ikan hiu yang agak besar dan 1 ekor dan memiliki pertemuan yang tak terlupakan dengan para nelayan.<br /><br />Setelah hampir 2 hari perjalanan dari Belanda kami akhirnya menginjakkan kaki di Nabire. Kami meminta taksi untuk membawa kami ke hotel Grand Papua tetapi mereka penuh, setelah itu kami dibawa ke Wisma Kamusioh. Karena kami tiba cukup awal, kami berdiri di pintu yang tertutup. Di jalan utama melalui Nabire kami melihat hotel Karya Papua jadi kami berakhir di sana untuk hari pertama / malam. Meskipun hotel ini memiliki staf yang ramah dan restoran yang tepat, di tidak bersih sama sekali. Jadi kami memutuskan untuk menghabiskan 2 malam terakhir kami di tempat lain. Ini menjadi Wisma Kamusioh, mereka hadir di sore hari pada hari itu. Kami merekomendasikan guesthouse ini untuk semua orang. Pemilik (Mellie) berbicara bahasa Inggris, staf ramah dan ruang tepat. Wisma ini ditemukan pada saat pemesanan. com.<br /><br />Dari pada perjalanan whaleshark. Mellie di Kamusioh bisa mengatur perjalanan. Dengan perahu dari Nabire, termasuk makan siang, kompensasi untuk para nelayan di bagan pertama adalah whalesharks hadir dan kami dapat diminta untuk pergi ke bagan lain jika kami suka. Jika kami ingin pergi ke bagan kedua, kami harus membayar 100. 000 - 300. 000 oleh diri kita sendiri di nelayan. Tidak ada yang dikatakan tentang pintu masuk taman, dan menurut Mellie hal ini tidak diperlukan. Dia meminta 5 juta rupiah untuk seluruh perjalanan untuk 2 orang. Paman Mellie memindahkan kami ke perahu di pantai di Nabire dan sepupunya adalah kapten kapal. Jangan berharap standar keamanan barat, tidak ada rompi kehidupan atau bahkan dayung di perahu, tetapi itu semua adalah bagian dari petualangan yang tepat! ? dan sebagian besar waktu Anda dekat dengan pantai.<br />Satu titik negatif adalah kita melihat satu ikan paus dengan garis-garis ikan yang menempel. Para nelayan tidak terlalu khawatir tentang hal ini. Karena selama kehadiran kami itu terjadi dua kali bahwa garis itu terpaut di whaleshark, tetapi para pria hanya memblokir garis sampai garis putus atau kait merobek. Ini bukan pemandangan yang menggembirakan karena Anda benar-benar melihat reaksi penuh tekanan dari whaleshark. Tetapi pada akhirnya apa yang bisa kita katakan? Terutama karena para nelayan di atas bagan kita semua dapat menikmati pengalaman indah ini. Kami tidak akan pernah melupakan Nabire dan para whaleshark.","Pasangan","0","","Ditulis pada 18 Oktober 2018","Ulasan ini adalah opini subjektif dari anggota Tripadvisor, bukan dari Tripadvisor LLC."
"Dominique C","https://www.tripadvisor.co.id/Profile/dominiquec655","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg","Langnau am Albis, Swiss","5","Mei 2018","Unglaublich","Ich war im Rahmen eines Turns mit der Alila Purnama hier. Wir haben insgesamt 6 unterschiedliche Walhaie (männlich) angetroffen. Das ganze ist touristisch noch nicht erschlossen, also perfekt. Das Gefühl mit so einem majestätischen Fisch zu tauchen/schnorcheln ist einfach unglaublich schön.","","0","","Ditulis pada 26 Mei 2018","Ulasan ini adalah opini subjektif dari anggota Tripadvisor, bukan dari Tripadvisor LLC."
"Lulusurfdog","https://www.tripadvisor.co.id/Profile/Lulusurfdog","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg","Brooklyn","5","Apr 2018 • Pasangan","Di luar tangga!","Sulit untuk menggambarkan betapa menakjubkannya berenang dengan hiu paus. Ini jelas merupakan pengalaman spiritual.","Pasangan","0","","Ditulis pada 24 April 2018","Ulasan ini adalah opini subjektif dari anggota Tripadvisor, bukan dari Tripadvisor LLC."
"JoSan Santoso","https://www.tripadvisor.co.id/Profile/JoSan_id","https://media-cdn.tripadvisor.com/media/photo-o/12/aa/37/f9/josan-id.jpg","Timika, Indonesia","5","Mar 2018 • Teman","Satu Hal yang Harus Anda Lakukan sebelum Anda Mati adalah berenang dengan Whalesharks","Nabire, Papua sulit dijangkau. begitu sedikit artikel di internet tentang bagaimana menuju ke sana, fasilitas, panduan, dll, bahkan di situs web resmi taman nasional yang disediakan oleh Pemerintah, tidak banyak informasi untuk digali. tetapi begitu Anda sampai di sana dan bisa berenang bersama Whalesharks, itu momen yang berharga. Anda harus melakukan setidaknya sekali seumur hidup.<br /><br />ada pasangan tempat di bumi ini yang dapat Anda temui dengan makhluk luar biasa ini di sepanjang tahun. yang saya tahu ada di oslob (philiphine), juga derawan, borneo (Indonesia). oslob terlalu turis dan sangat populer, derawan terakhir kali teman saya pergi ke sana tidak baik dalam visibilitas. jadi Nabire adalah tempat yang sempurna, dengan air yang jernih dan tempat yang tenang yang dapat Anda nikmati sendiri (sebenarnya saya adalah satu-satunya turis pada saat itu).<br /><br />Cara terbaik dan belum termurah adalah dengan menyewa pemandu lokal yang dapat mengatur Anda semuanya mulai dari mobil, perahu, homestay, makan, dan pasti untuk mengunjungi bagan dan berenang dengan ikan paus. Tetapi sebelum Anda membuat kesepakatan dengan pemandu lokal, pastikan bahwa Anda menetapkan kesepakatan yang mencakup semua persyaratan seperti bensin (baik Anda pergi dengan perahu atau mobil), biaya masuk taman nasional, dan biaya untuk membayar ikan puri (ikan kecil untuk umpan ) kepada nelayan di bagan. Juga jelaskan bahwa harga adalah seluruh paket per hari per grup, bukan per orang.<br /><br />Setelah membuat kesepakatan dengan panduan yang disarankan, kami lebih memilih pergi ke kwatisore dengan menggunakan perahu dari pantai Nabire, mengingat ini adalah cara tercepat yang memakan waktu sekitar 1 hingga 1 setengah jam. Jika lewat jalan darat, dibutuhkan 3 jam. Kami meninggalkan sekitar 7. Pukul 30 pagi (30 menit terlambat dari kesepakatan sebenarnya tapi masih bisa ditolerir). Jangkau homestay keluarga di kwatisore untuk menurunkan barang bawaan kami. Jangan berharap untuk homestay mewah atau hotel atau resort, Ini benar-benar rumah yang dimiliki oleh keluarga pemandu kami dengan fasilitas dasar, tetapi mereka melayani dan memperlakukan kami seperti raja dan ratu hari itu. Kami langsung pergi untuk mencapai bagan pertama (hanya memakan waktu 15 - 20 menit) setelah disajikan dengan teh panas dan pisang goreng. Tidak sabar untuk berenang bersama si kucing. Pertemuan pertama dengan 2 raksasa lembut yang dalam bahasa lokal disebut ""Gurano Bintang"", gugup, bersemangat, gembira, dan senang dengan perasaan campur aduk. Setelah sekitar 90 menit dan baterai kamera saya terkuras, kami pindah ke bagan berikutnya dan bertemu dengan satu whaleshark lainnya. Sama dengan 90 menit berikutnya baterai cadangan saya juga kosong, jadi kami memutuskan untuk mengakhiri pengalaman indah itu dan berjanji untuk bertemu di pagi hari berikutnya.<br /><br />Kembali ke guest house untuk makan siang besar, yuk kita kelaparan setelah berjam-jam berenang di laut terbuka. Makanan yang disediakan oleh keluarga pemandu kami sangat lezat, kita berakhir dengan perut yang bahagia. Apakah saya menyebutkan sebelumnya bahwa guest house terletak tepat di depan pantai? Nah, itu adalah pantai yang indah dengan air yang jernih dan sangat bersih. Kami menghabiskan waktu di rumah tamu dengan berenang, bermain dengan anjing ramah yang dimiliki oleh rumah tamu, dan tidur di tempat tidur gantung. Dan kemudian, kudapan sore dilayani dengan air kelapa segar yang kami minum langsung dari kelapa. Yeap, mungkin bukan akomodasi mewah dengan fasilitas dasar, tetapi sekali lagi layanan dari keluarga luar biasa.<br /><br />Pagi berikutnya kami siap untuk kembali lagi di bagan dan berenang bersama teman-teman raksasa baru kami. Tapi kami tidak beruntung saat itu, angin sangat kuat dan ombaknya semakin tinggi, tidak ada whaleshark sama sekali di sekitar bagan. Kami memutuskan untuk kembali ke bagan dan menunggu laut untuk tenang. Sekali lagi, dilayani dengan makanan ringan dan teh panas, sementara kita berenang di pantai di depan rumah tamu. Sekitar tengah hari setelah makan siang, kami tryng kembali ke bagan dan masih sial? dengan angin kencang yang sama. Akhirnya kami memutuskan untuk kembali ke homestay berkemas dan kembali ke Nabire. Bukan hari terbaik meski tapi tetap senang karena tidak buruk sama sekali setelah pengalaman kemarin. Berdasarkan ini, saya akan menyarankan untuk menghabiskan hari ekstra untuk berjaga-jaga jika Anda tidak bertemu dengan Whalesharks sehingga Anda dapat mengatur hari berikutnya sampai Anda bertemu. Tips tambahan adalah untuk memeriksa cuaca, kalender bulan, dan menjadwalkan dengan sangat rinci mengingat itu tidak terlalu murah untuk sampai ke tempat ini. Semoga berhasil","Teman","0","https://media-cdn.tripadvisor.com/media/photo-o/12/aa/37/6e/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/37/6a/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/37/65/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/37/63/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/37/5d/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/37/5a/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/37/52/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/37/4b/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/37/47/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/37/45/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/37/43/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/37/42/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/37/3d/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/37/3a/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/37/35/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/37/33/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/37/30/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/37/2f/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/37/2e/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/37/2c/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/37/28/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/37/25/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/37/24/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/37/21/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/37/1e/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/37/1a/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/37/17/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/37/12/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/37/11/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/37/0e/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/37/0d/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/37/02/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/37/01/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/36/fd/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/36/f2/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/36/ef/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/36/ed/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/36/e9/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/36/e7/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/36/e4/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/36/df/the-bagan.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/36/d9/whaleshark-of-nabire.jpg
https://media-cdn.tripadvisor.com/media/photo-o/12/aa/36/d7/whaleshark-of-nabire.jpg","Ditulis pada 17 April 2018","Ulasan ini adalah opini subjektif dari anggota Tripadvisor, bukan dari Tripadvisor LLC."
"lauradds","https://www.tripadvisor.co.id/Profile/lauradds","https://media-cdn.tripadvisor.com/media/photo-o/16/d8/34/fc/caption.jpg","London, UK","5","Mar 2018","Sulit untuk mendapatkan, mahal, tapi sangat berharga.","Kami melakukan tur dengan Travel Papua (lihat ulasan terpisah saya jika tertarik), yang kami atur sebelumnya dari Inggris. Saya memiliki beberapa kekhawatiran tentang dampak lingkungan dari kehadiran wisatawan kami, tetapi diyakinkan oleh pendekatan ramah lingkungan dari Travel Papua.<br />Kami berada di sana selama 2 hari dan tidak melihat turis lain. Kami tinggal di rumah seorang nelayan lokal, yang juga kapten kami. Teluk itu sendiri berjarak sekitar 3 jam perjalanan dari Nabire dengan satu jam terakhir berada di sepanjang jalan tanah yang tampaknya tidak dapat dilalui kadang-kadang karena tanah longsor.<br />Seperti yang saya pahami, hiu-hiu itu terhabituasi - mereka mendekati platform terapung yang besar dan mencoba memecahkan jaring untuk mencuri ikan; lama-kelamaan nelayan setempat telah memberi makan mereka untuk mencoba mengalihkan mereka dari jaring.<br />Kami hanya melihat satu hiu pada hari pertama, tetapi pada hari kedua kami menghabiskan waktu lama snorkeling dengan 5 dari mereka. Kami berusaha sekuat tenaga untuk tidak menyentuh hiu, tetapi mereka tampaknya tidak takut mencambuk kami dengan ekor mereka!<br />Sejauh yang saya bisa lihat, ini adalah operasi skala kecil. Nakhoda kami sangat berhati-hati ketika mendekati platform dan saya melihat tidak ada kerusakan dari baling-baling ke atau pada hiu. Satu-satunya tanda-tanda intervensi manusia melacak tag pada satu atau dua dari mereka. Pendapat pribadi saya adalah bahwa selama kunjungan wisata terus ditangani secara bertanggung jawab dan dengan cara yang paling ramah lingkungan, maka ini adalah pengalaman ajaib yang luar biasa yang diharapkan dapat dialami oleh beberapa dari kita yang beruntung :)","","0","","Ditulis pada 25 Maret 2018","Ulasan ini adalah opini subjektif dari anggota Tripadvisor, bukan dari Tripadvisor LLC."
