"User Name","User Profile","User Avatar","User Location","Rating","Rating Text","Review Title","Review Text","Trip Type","Helpful Votes","Photos","Published Date","Disclaimer"
"Samuel Brenstein Sokoi","https://www.tripadvisor.com/Profile/Brenstein-14","https://media-cdn.tripadvisor.com/media/photo-o/1a/3c/e3/c1/avatar.jpg","Sentani, Indonesia","5","Feb 2020","Traveling","Pantai Bosnik merupakan tempat wisata yang sangat indah pemandangan lautnya dengan gelombang laut dan juga pesisir pantai dihiasi kilauan pasir putih yang dapat memanjakan mata kita ketika bepergian ke pantai Bosnik. selain itu juga ada pondok pondok yang disediakan buat tempat santai para traveler dan juga ada kuliner dari daerah setempat yang dapat melengkapi kunjungan anda saat kesana.","","0","","Written July 13, 2020","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Outdoor A","https://www.tripadvisor.com/Profile/572MichaelB","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg","Ulm, Germany","4","Jan 2020 • Solo","Einer der vielen Strände biaks","Es ist einer der vielen Strände auf biaks es ist nicht der schönste aber der nächste von der stadt.viele hier die den Strand bewertet haben waren nicht am.richtigen Strand ,der richtige Sandstrand kommt nach der Betonpromenade","Solo","0","https://media-cdn.tripadvisor.com/media/photo-o/1a/a9/8e/7a/img-20200121-093630-largejpg.jpg","Written January 20, 2020","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Oemar Ichsan","https://www.tripadvisor.com/Profile/Oemaristan","https://media-cdn.tripadvisor.com/media/photo-o/11/c2/a4/b6/oemar-i.jpg","Tembagapura, Indonesia","4","Aug 2019 • Friends","Ombaknya kencang saat Desember","Pantai ini merupakan pantai terdekat dari Kota Biak. Jika cuaca baik, pantai ini indah, biru jernih dan kalau menyelam cukup baik. Namun saat Desember ombak nya menjadi lebih tinggi dan agak tidak aman jika bermain di bibir pantai nya kecuali bisa berenang atau dengan pendamping","Friends","0","","Written November 24, 2019","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"naru_mu","https://www.tripadvisor.com/Profile/auditortraveller","https://media-cdn.tripadvisor.com/media/photo-m/1280/15/65/32/3c/auditortraveller.jpg","Jayapura, Indonesia","3","Sep 2018 • Couples","Beach of golden sunset","Salah satu pantai terbaik di Biak untuk melihat sunset atau bermain air laut adalah di bosnik. Sunset disini sangat cantik berwarna kuning keemasan. Selain itu, pantai ini dapat ditempuh perjalanan darat menggunakan mobil atau sepeda motor dari pusat kota kira-kira 30 menit. Kegiatan yang dapat dilakukan yaitu bersantai menikmati pantai sambil menunggu sunset, minum air kelapa muda (harganya berkisar Rp15.000,00 - Rp20.000,00), dan berenang.<br />Jika anda berminat mencoba program discovery diving yaitu semacam ""percobaan"" diving bagi pemula yang belum pernah belajar diving sebelumnya, maka pantai bosnik adalah pilihan yang tepat. Selain karena terdapat terumbu yang lumayan masih terawat, terdapat jangkar dari peninggalan perang dunia ke-2 yang terletak di kedalaman kurang dari 2 m.","Couples","0","","Written November 16, 2018","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"davisGVA","https://www.tripadvisor.com/Profile/davisGVA","https://media-cdn.tripadvisor.com/media/photo-o/05/0f/aa/5a/davisgva.jpg","Geneva, Switzerland","4","May 2018 • Solo","Amazing snorkeling","Very quiet beach (week days at least). White sand and clear water. About 30 meters from the shore you have an amazing snorkeling spot, really amazing. Just be carefull with the strong current, better to be a good swimmer.","Solo","0","","Written May 25, 2018","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Paul S","https://www.tripadvisor.com/Profile/psharp686","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/a9/default-avatar-2020-50.jpg","Worcestershire, UK","4","Apr 2018 • Couples","Lovely place","Really nice place to lay on one of many wooden platforms and have a snooze.<br /><br />The snorkeling was also incredible once you get quite far out. Some of the best i have seen in Papua. There is a steep drop off 50 meters out. Shallower and it is super shallow, filled with obstacles and no visibility, but at that point it gets clear and there is an amazing diversity of marine life and some very healthy coral.","Couples","0","","Written April 30, 2018","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Indindmil","https://www.tripadvisor.com/Profile/Indindmil","https://media-cdn.tripadvisor.com/media/photo-o/0b/f4/69/98/indrihutapea.jpg","Jakarta, Indonesia","4","Oct 2017 • Family","Banyak karangnya ","Kalo kepantai ini saya sarankan sih pake sendal, Krn banyak bgd karang di pantai atau pasirnya.. pantainya indah sekali, ga GT ramai , jadi enak bgd buat ngusir penat ","Family","0","","Written January 22, 2018","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"nomart_sagala","https://www.tripadvisor.com/Profile/nomart_sagala","https://media-cdn.tripadvisor.com/media/photo-o/08/2e/74/21/nomart-sagala.jpg","Jakarta, Indonesia","4","Mar 2017 • Friends","Pantai terdekat di Biak","Letak pantai Bosnik tidak terlalu jauh dari Kota Biak, sekitar 45 menit perjalanan. Pasir disini bercampur dengan karang, sehingga kita harus berhati-hati jika tidak memakai alas kaki. Banyak saung yang terdapat dipinggir pantai untuk bersantai.","Friends","0","https://media-cdn.tripadvisor.com/media/photo-o/11/8b/ff/be/tipe-pasir-di-pantai.jpg","Written December 19, 2017","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Ishaq M","https://www.tripadvisor.com/Profile/366ishaqm","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg","Indonesia","4","Dec 2016 • Business","Pantai Asri Nan Menawan","Pantai yang terletak d Biak Papua ini memiliki pemandangan yang sangat indah, sangat cocok untuk tempat berlibur dan melepas kepenatan. Suasananya juga tidak terlalu ramai sehingga nyaman untuk liburan keluarga ditambah pemandangan laut nan biru ","Business","0","","Written September 6, 2017","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Rio Albert","https://www.tripadvisor.com/Profile/rioalbert23","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg","","5","Aug 2016 • Business","Amazing panorama, and very Close to the city centre","Well. I just lying down waiting for the sunset, while drink fresh coconut water. Really beautiful and crystal clear water. Beautiful beach as well...","Business","0","","Written April 19, 2017","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
