"User Name","User Profile","User Avatar","User Location","Rating","Rating Text","Review Title","Review Text","Trip Type","Helpful Votes","Photos","Published Date","Disclaimer"
"Outdoor A","https://www.tripadvisor.com/Profile/572MichaelB","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg","Ulm, Germany","4","Jan 2020 • Solo","Ein wunderschöner Strand ","Super Strand der von biak mit öffentlichen Verkehrsmitteln zu erreichen ist<br />Allerdings muss man die richtigen Gezeiten erwischen da die Brandung doch enorm sein kann","Solo","0","","Written January 23, 2020","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Oemar Ichsan","https://www.tripadvisor.com/Profile/Oemaristan","https://media-cdn.tripadvisor.com/media/photo-o/11/c2/a4/b6/oemar-i.jpg","Tembagapura, Indonesia","4","Nov 2019 • Friends","Masih alami dan bebas sampah","Pantai ini meski cukup terkenal dan sering dikunjungi wisatawan, untunglah kebersihan nya masih terjaga sehingga kita bisa bersantai di pondok sambil menikmati ombak dan jernih biru nya laut atau menemani anak bermain pasir. Semoga kebersihan nya selalu terjaga. ","Friends","0","https://media-cdn.tripadvisor.com/media/photo-o/1a/05/85/e4/pantai-wari.jpg
https://media-cdn.tripadvisor.com/media/photo-o/1a/05/85/e3/pantai-wari.jpg
https://media-cdn.tripadvisor.com/media/photo-o/1a/05/85/e2/pantai-wari.jpg
https://media-cdn.tripadvisor.com/media/photo-o/1a/05/85/e1/pantai-wari.jpg
https://media-cdn.tripadvisor.com/media/photo-o/1a/05/85/e0/pantai-wari.jpg
https://media-cdn.tripadvisor.com/media/photo-o/1a/05/85/df/pantai-wari.jpg
https://media-cdn.tripadvisor.com/media/photo-o/1a/05/85/de/pantai-wari.jpg","Written November 13, 2019","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"naru_mu","https://www.tripadvisor.com/Profile/auditortraveller","https://media-cdn.tripadvisor.com/media/photo-m/1280/15/65/32/3c/auditortraveller.jpg","Jayapura, Indonesia","4","Nov 2018","Best weekend getaway in North Biak","Pantai ini telah dilengkapi beberapa cottage. Selain itu, pantai ini merupakan kawasan teluk yang memiliki ombak yang tenang sehingga nyaman untuk digunakan berenang. Terdapat beberapa penjual kelapa muda di sekitar lokasi dengan harga berkisar Rp10.000,00 s.d. Rp15.000,00 rupiah. Pantai ini memiliki waktu tempuh kira-kira 30 menit dari pusat kota Biak menggunakan kendaraan pribadi atau melalui sewa mobil yang dapat ditemukan dengan mudah di seluruh penjuru kota Biak.","","0","","Written February 4, 2019","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Saesars","https://www.tripadvisor.com/Profile/Saesars","https://media-cdn.tripadvisor.com/media/photo-o/12/f5/e8/ec/saesars.jpg","","5","Nov 2018 • Friends","Pantai Pasir Putih di Utara Biak","Pantai Wari adalah Pantai yang terletak di Biak Utara. Berhadapan langsung dengan Samudera Pasifik, dengan hamparan Pasir Putihnya yang bersih, sungguh tempat yang nyaman untuk bersantai bersama teman maupun keluarga","Friends","0","","Written November 28, 2018","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"si_bolang_girl","https://www.tripadvisor.com/Profile/si_bolang_girl","https://media-cdn.tripadvisor.com/media/photo-o/06/49/f0/3c/si-bolang-girl.jpg","Bogor, Indonesia","3","Feb 2018 • Business","Peaceful beach","The bay with white sand beach is so peaceful.wave is not so strong though it comes directly from pacific ocean.the magnifique point is on meeting point green river to the blue water of sea.","Business","0","","Written May 28, 2018","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"eve294229","https://www.tripadvisor.com/Profile/eve294229","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg","Jakarta, Indonesia","4","Dec 2016 • Friends","Wari the Virgin Beach","About 1hour from Biak City to the north. Not like Bosnic Beach, Wari Beach still a lil bit quite. People mostly go there after lunch time. Try to swim and you can feel the hot and cold water sensation. There's few gazebo for you to lay down and enjoy the view, but if you plan to stay a bit longer, don't forget to bring your own meals.","Friends","0","https://media-cdn.tripadvisor.com/media/photo-o/0d/d2/cf/be/img-20161127-wa0003-largejpg.jpg","Written December 7, 2016","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"inochristanto","https://www.tripadvisor.com/Profile/inochristanto","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg","Biak, Indonesia","5","Nov 2016 • Business","The working and holiday","Pembayaran klaim krb laka lantas di desa anggaduber.pantai anggaduber dan pantai anggopi dua dari pantai inda dibiak dan layak dikunjungi terletak di desa anggaduber satu jam dari bandara frans kaisepo<br />Pantai anggopi sala satu pantai dengan lautan bebas dan pasir n view yg inda,asikx lagi ada air tawar untuk bilas.<br />","Business","0","","Written November 24, 2016","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"Rahman_Priyono","https://www.tripadvisor.com/Profile/Rahman_Priyono","https://media-cdn.tripadvisor.com/media/photo-o/06/25/98/ea/angpauw.jpg","Jakarta, Indonesia","4","Aug 2016 • Friends","Beach facing Pacific ocean","Wide and beautiful sandy beach in the north side of Biak island. Take about one hour by car from Biak town.","Friends","0","https://media-cdn.tripadvisor.com/media/photo-o/0c/e1/ce/1b/pantai-wari-biak-utara.jpg","Written August 22, 2016","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"achankd","https://www.tripadvisor.com/Profile/achankd","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/7b/default-avatar-2020-6.jpg","Xuzhou, China","5","May 2016 • Solo","Keindahan yang luar biasa!","Sebenarnya pantai ini bernama Pantai Wanai di desa Wari, Biak Utara. Lokasinya sangat dekat dengan pantai Batu Pica'. Anda bisa berkunjung ke Batu Pica lalu mandi di Wanai.. Superb!!!","Solo","0","","Written May 25, 2016","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
"hans_alexandre y","https://www.tripadvisor.com/Profile/hansalexandrey","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg","","4","Jan 2016 • Friends","Pantai Wanai Wari Biak Utara","Pantai wanai Wari merupakan salah satu objek wisata yg memiliki view Hol pantai yg indah di sebelah pantai juga terdapat muara   air payau yg mwngalir kelaut sehingga bila pengunjung ingin bilas diri bisa langsung kemuaranya yg menyegarkan , #pesona biak","Friends","0","","Written January 27, 2016","This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC."
